RANK,PLAYER,TEAM,GP,MPG,PTS,REB,AST,STL,BLK,TOV,EFF,VALUE_SCORE,TIER
10,Nikola Jokić,DEN,65,34.8,1799,836,697,92,53,243,2665,51.34,⭐ Star
19,Victor Wembanyama,SAS,64,29.2,1600,736,199,66,197,155,2038,50.86,⭐ Star
83,Giannis Antetokounmpo,MIL,36,28.9,993,352,196,34,24,115,1134,50.55,⭐ Star
1,Luka Dončić,LAL,64,35.8,2143,495,530,105,34,255,2146,48.4,⭐ Star
2,Shai Gilgeous-Alexander,OKC,68,33.2,2117,292,448,95,52,151,2189,46.65,⭐ Star
9,Kawhi Leonard,LAC,65,32.1,1813,413,234,122,27,133,1808,42.96,⭐ Star
79,Joel Embiid,PHI,38,31.6,1021,293,150,21,46,109,1017,42.12,⭐ Star
22,Cade Cunningham,DET,64,33.9,1531,355,634,92,54,236,1717,41.63,⭐ Star
6,Donovan Mitchell,CLE,70,33.5,1952,316,398,104,20,198,1809,40.44,⭐ Star
30,LaMelo Ball,CHA,72,28.0,1445,347,514,87,17,202,1452,40.21,⭐ Star
3,Jaylen Brown,BOS,71,34.4,2038,492,364,72,27,259,1817,39.88,⭐ Star
58,Stephen Curry,GSW,43,30.9,1142,154,203,49,17,121,1002,39.62,⭐ Star
18,Jalen Johnson,ATL,72,35.2,1621,740,566,89,31,244,2094,39.52,⭐ Star
271,Anthony Davis,WAS,20,31.3,407,221,56,22,33,41,511,39.35,⭐ Star
298,Jayson Tatum,BOS,16,32.6,348,160,85,22,3,39,396,39.22,⭐ Star
35,Jalen Duren,DET,70,28.2,1365,737,138,57,59,130,1836,38.96,⭐ Star
5,Tyrese Maxey,PHI,70,38.0,1980,290,461,130,55,171,1893,38.39,⭐ Star
21,Deni Avdija,POR,66,33.3,1598,454,442,51,41,253,1640,38.08,⭐ Star
11,Anthony Edwards,MIN,61,35.0,1757,302,226,83,49,174,1525,38.06,⭐ Star
206,Jonas Valančiūnas,DEN,65,13.4,567,329,78,14,37,73,758,37.72,⭐ Star
236,Paul Reed,DET,65,13.9,504,294,80,57,60,58,770,37.6,⭐ Star
23,Karl-Anthony Towns,NYK,75,31.0,1504,889,226,65,40,187,1963,37.51,⭐ Star
220,Kristaps Porziņģis,GSW,32,24.0,533,167,81,18,38,41,556,37.39,⭐ Star
8,Jamal Murray,DEN,75,35.4,1905,330,535,66,29,171,1947,37.31,⭐ Star
28,Alperen Sengun,HOU,72,33.3,1466,640,445,85,77,227,1830,37.27,⭐ Star
279,Ja Morant,MEM,20,28.4,389,65,161,20,6,71,368,37.2,⭐ Star
226,T.J. McConnell,IND,56,17.2,525,124,287,56,10,64,726,37.04,⭐ Star
63,Lauri Markkanen,UTA,42,34.4,1123,289,89,42,21,63,1052,36.92,⭐ Star
12,Devin Booker,PHX,64,33.5,1668,248,386,51,18,201,1452,36.77,⭐ Star
136,Alex Sarr,WAS,48,27.2,783,355,130,39,95,82,935,36.57,⭐ Star
99,Josh Giddey,CHI,54,32.1,919,448,494,55,27,196,1297,36.56,⭐ Star
47,LeBron James,LAL,60,33.2,1256,364,432,72,35,179,1451,36.4,⭐ Star
27,Bam Adebayo,MIA,73,32.4,1468,732,232,86,49,120,1714,36.39,⭐ Star
7,Jalen Brunson,NYK,74,35.0,1927,247,503,57,8,175,1714,36.36,⭐ Star
25,Pascal Siakam,IND,62,33.2,1485,411,236,69,25,138,1376,36.27,⭐ Star
15,James Harden,CLE,70,34.8,1652,336,557,79,28,245,1710,36.26,⭐ Star
46,Michael Porter Jr.,BKN,52,32.5,1259,367,158,55,13,122,1184,36.19,⭐ Star
146,Jimmy Butler III,GSW,38,31.1,760,211,185,55,8,60,898,35.74,⭐ Star
40,Zion Williamson,NOP,62,29.7,1302,353,199,60,34,126,1367,35.45,⭐ Star
334,Obi Toppin,IND,24,17.7,279,106,55,12,1,28,322,35.3,⭐ Star
54,Evan Mobley,CLE,65,31.9,1180,586,234,48,113,122,1532,35.14,⭐ Star
42,Keyonte George,UTA,54,33.1,1275,199,332,58,14,166,1192,35.1,⭐ Star
52,Chet Holmgren,OKC,69,28.9,1181,615,115,43,131,107,1574,35.04,⭐ Star
29,Scottie Barnes,TOR,80,33.5,1448,600,474,114,116,210,1933,34.78,🔵 Starter
26,Cooper Flagg,DAL,70,33.5,1473,466,316,84,64,161,1548,34.61,🔵 Starter
208,Jalen Williams,OKC,33,28.4,563,152,181,39,9,63,630,34.55,🔵 Starter
20,Paolo Banchero,ORL,72,34.8,1599,604,373,51,40,222,1689,34.53,🔵 Starter
4,Kevin Durant,HOU,78,36.4,2026,426,372,62,71,246,1992,34.45,🔵 Starter
322,Domantas Sabonis,SAC,19,29.7,301,216,78,18,4,51,444,34.42,🔵 Starter
158,Franz Wagner,ORL,34,30.0,699,177,113,32,11,58,676,34.31,🔵 Starter
